time,measurement_type,pos_x,pos_y,theta
0.03,model,-9.890533395260605e-09,-3.21931270402268e-08,8.492454562649655e-10
0.04,model,-9.887686239543728e-09,-3.219764602546839e-08,9.041130658708103e-10
0.05,model,-9.884839068911327e-09,-3.220216503438452e-08,9.589809629251109e-10
0.06,model,-9.881991898267501e-09,-3.220668404331928e-08,1.0138488602080986e-09
0.07,model,-9.879144727649938e-09,-3.22112030522128e-08,1.0687167569934136e-09
0.09,model,-9.873450386395847e-09,-3.2220241070031375e-08,1.1784525509549965e-09
0.1,model,-9.870603215770387e-09,-3.2224760078938834e-08,1.2333204479179279e-09
0.11,model,-9.867756045129725e-09,-3.222927908787089e-08,1.2881883451823226e-09
0.12,model,-9.864908874506433e-09,-3.223379809677585e-08,1.3430562421204174e-09
0.13,model,-9.862061703895853e-09,-3.223831710566109e-08,1.3979241388220323e-09
0.14,model,-9.859214533262256e-09,-3.224283611458332e-08,1.4527920359757265e-09
0.15,model,-9.856367362642456e-09,-3.2247355123484124e-08,1.5076599328719569e-09
0.16,model,-9.853520192023553e-09,-3.225187413238397e-08,1.5625278297593335e-09
0.17,model,-9.85067302140626e-09,-3.2256393141281725e-08,1.617395726624245e-09
0.18,model,-9.847825850790321e-09,-3.226091215017779e-08,1.6722636234714872e-09
0.19,model,-9.844978680190599e-09,-3.2265431159048594e-08,1.7271315200147618e-09
0.2,model,-9.842131509561273e-09,-3.226995016796686e-08,1.781999417136954e-09
0.21,model,-9.839284338949049e-09,-3.227446917685843e-08,1.836867313938026e-09
0.22,model,-9.836437168338125e-09,-3.227898818574842e-08,1.8917352107225666e-09
0.23,model,-9.833589997740151e-09,-3.228350719461829e-08,1.9466031072659765e-09
0.24,model,-9.830742827119606e-09,-3.228802620352447e-08,2.0014710042528896e-09
0.25,model,-9.827895656524132e-09,-3.229254521239134e-08,2.0563389007651148e-09
0.26,model,-9.825048485906097e-09,-3.229706422129446e-08,2.1112067977205798e-09
0.27,model,-9.822201315313168e-09,-3.23015832301582e-08,2.1660746942007273e-09
0.28,model,-9.819354144697645e-09,-3.230610223905828e-08,2.2209425911247776e-09
0.29,model,-9.816506974107218e-09,-3.2310621247918985e-08,2.275810487573632e-09
0.3,model,-9.813659803507812e-09,-3.2315140256794416e-08,2.330678384204006e-09
0.32,model,-9.807965462309462e-09,-3.232417827454592e-08,2.440414177481257e-09
0.33,model,-9.805118291710534e-09,-3.2328697283421986e-08,2.495282074127919e-09
0.34,model,-9.802271121116149e-09,-3.23332162922913e-08,2.5501499706954343e-09
0.35,model,-9.799423950507848e-09,-3.233773530118318e-08,2.6050178675395695e-09
0.36,model,-9.796576779927874e-09,-3.234225431003055e-08,2.659885763846341e-09
0.37,model,-9.793729609337876e-09,-3.23467733188943e-08,2.7147536603546803e-09
0.42,model,-9.779493756379434e-09,-3.2369368363233465e-08,2.989093143186824e-09
0.43,model,-9.776646585806946e-09,-3.2373887372072235e-08,3.0439610394086403e-09
0.44,model,-9.773799415227632e-09,-3.237840638092229e-08,3.0988289357705295e-09
0.45,model,-9.770952244641336e-09,-3.23829253897839e-08,3.1536968322753436e-09
0.46,model,-9.768105074060457e-09,-3.2387444398637376e-08,3.208564728684306e-09
0.47,model,-9.765257903484733e-09,-3.239196340748313e-08,3.2634326250023473e-09
0.48,model,-9.762410732902413e-09,-3.239648241633984e-08,3.3183005214560412e-09
0.49,model,-9.759563562326938e-09,-3.240100142518612e-08,3.373168417786233e-09
0.52,model,-9.751022050601488e-09,-3.241455845172624e-08,3.5377721068089684e-09
0.53,model,-9.748174880033534e-09,-3.241907746056246e-08,3.592640003028187e-09
0.54,model,-9.745327709458575e-09,-3.242359646941026e-08,3.647507899390848e-09
0.55,model,-9.742480538889044e-09,-3.2428115478249914e-08,3.7023757956573387e-09
0.56,model,-9.739633368324643e-09,-3.2432634487081895e-08,3.7572436918335065e-09
0.57,model,-9.736786197753686e-09,-3.2437153495924735e-08,3.812111588144432e-09
0.58,model,-9.73393902718957e-09,-3.2441672504757185e-08,3.866979484332036e-09
0.59,model,-9.731091856611026e-09,-3.244619151361301e-08,3.9218473808061735e-09
0.6,model,-9.72824468606426e-09,-3.245071052241886e-08,3.976715276676353e-09
0.61,model,-9.725397515498146e-09,-3.245522953125589e-08,4.031583172927915e-09
0.62,model,-9.722550344937435e-09,-3.2459748540084784e-08,4.086451069083842e-09
0.63,model,-9.719703174381874e-09,-3.2464267548906004e-08,4.141318965148971e-09
0.64,model,-9.716856003819732e-09,-3.246878655773813e-08,4.196186861349427e-09
0.65,model,-9.714008833250582e-09,-3.2473305566581844e-08,4.2510547576933815e-09
0.66,model,-9.711161662707077e-09,-3.2477824575385304e-08,4.305922653551605e-09
0.71,model,-9.696925809949147e-09,-3.250041961947377e-08,4.580262133748544e-09
0.72,model,-9.694078639399366e-09,-3.2504938628289996e-08,4.635130029778547e-09
0.73,model,-9.691231468854127e-09,-3.250945763709949e-08,4.689997925729516e-09
0.74,model,-9.68838429831077e-09,-3.251397664590645e-08,4.744865821652649e-09
0.75,model,-9.685537127757392e-09,-3.251849565472977e-08,4.799733717777444e-09
0.76,model,-9.682689957207515e-09,-3.252301466354802e-08,4.854601613843259e-09
0.77,model,-9.67984278667761e-09,-3.252753367233503e-08,4.909469509532659e-09
0.78,model,-9.676995616137273e-09,-3.253205268113906e-08,4.964337405431522e-09
0.79,model,-9.674148445600234e-09,-3.2536571689938314e-08,5.019205301275351e-09
0.8,model,-9.671301275063796e-09,-3.254109069873708e-08,5.0740731971160495e-09
0.81,model,-9.66845410451053e-09,-3.254560970756302e-08,5.128941093289504e-09
0.82,model,-9.66560693399124e-09,-3.255012871633552e-08,5.183808988816676e-09
0.83,model,-9.66275976345636e-09,-3.25546477251332e-08,5.238676884652796e-09
0.84,model,-9.65991259290813e-09,-3.255916673395256e-08,5.293544780754636e-09
0.85,model,-9.657065422376145e-09,-3.256368574274659e-08,5.348412676551875e-09
0.86,model,-9.654218251857812e-09,-3.2568204751519424e-08,5.403280572094498e-09
0.87,model,-9.651371081328599e-09,-3.257272376030999e-08,5.458148467855265e-09
0.88,model,-9.648523910802285e-09,-3.25772427690964e-08,5.513016363568662e-09
0.89,model,-9.645676740273919e-09,-3.258176177788655e-08,5.56788425933011e-09
0.9,model,-9.64282956974847e-09,-3.258628078667255e-08,5.622752155043781e-09
0.91,model,-9.639982399225952e-09,-3.259079979545435e-08,5.677620050709496e-09
0.92,model,-9.637135228703027e-09,-3.2595318804237247e-08,5.732487946391478e-09
0.93,model,-9.634288058179702e-09,-3.259983781302128e-08,5.787355842089685e-09
0.94,model,-9.631440887660957e-09,-3.2604356821798485e-08,5.842223737708089e-09
0.95,model,-9.628593717141822e-09,-3.2608875830576785e-08,5.8970916333425016e-09
0.96,model,-9.625746546626393e-09,-3.261339483934965e-08,5.951959528913897e-09
0.97,model,-9.622899376107322e-09,-3.261791384812877e-08,6.00682742456399e-09
